sensor_id,location_id
437,259
479,289
527,314
553,326
575,334
786,452
868,507
881,512
926,534
943,541
974,557
991,564
1134,654
1328,772
1432,814
1652,894
1692,923
1701,931
1756,969
1758,971
1760,973
1867,1037
2002,1116
2050,1142
2062,1149
2079,881
2187,293
2192,1223
2197,1226
2204,1229
2285,1275
2319,1291
2342,1305
2377,1316
2408,1338
2509,1404
2571,1448
2723,1544
2743,1557
2765,1571
2801,1590
2834,1601
2850,1615
2854,1619
2861,1624
2867,1626
2874,1630
2886,1634
2910,1643
2930,1655
2934,1657
2961,1671
3017,1559
3101,1754
3183,1801
3202,1808
3245,1834
3284,1862
3325,1878
3330,1880
3384,1913
3432,1940
3440,1944
3453,1951
3467,1957
3476,1964
3512,1985
3569,2009
3609,2030
3684,2069
3698,2076
3724,288
3731,2090
3757,2095
3792,2108
3866,2151
3937,2183
3977,880
4054,2248
8670,3837
20275,7001
20287,7003
21674,807
22390,1428
22612,7781
24589,1650
24908,8572
25058,8631
25081,1155
25150,8669
25300,2027
25305,8466
25311,8710
25507,7510
25573,8768
25615,8786
25671,8805
25745,8828
25753,8832
25765,8837
25846,1867
25871,8864
25914,1560
25967,1467
28498,9340
29081,9510
426226,8830
1294987,223314
1316200,2218
1323718,7712
1562104,270740
1562111,270744
1562414,270826
1591531,279885
1730155,304623
2000942,947241
2071327,164
2773091,494922
5077566,928
5077580,1312
5077700,1638
5077833,921018
5077839,32615
5077856,2045
6294694,1083851
6530128,1235978
6554956,1275801
6564826,1284439
6856988,1504020
7004230,1600493
7381506,1819358
7438167,1867568
12142069,1897
13419138,1398
