State,Code
Alabama,1671
Alaska,1404
Arizona,564
Arkansas,2045
California,8830
Colorado,2183
Connecticut,2151
Delaware,1149
Florida,1560
Georgia,1951
Hawaii,2090
Idaho,1398
Illinois,8864
Indiana,314
Iowa,1619
Kansas,1155
Kentucky,1897
Louisiana,1754
Maine,1448
Maryland,1142
Massachusetts,452
Michigan,7003
Minnesota,1772
Mississippi,326
Missouri,1626
Montana,512
Nebraska,3837
Nevada,1634
New Hampshire,1028
New Jersey,962
New Mexico,1985
New York,654
North Carolina,1801
North Dakota,1689
Ohio,1944
Oklahoma,2027
Oregon,2030
Pennsylvania,1116
Rhode Island,557
South Carolina,807
South Dakota,1037
Tennessee,289
Texas,1316
Utah,288
Vermont,1590
Virginia,1615
Washington,1275
West Virginia,1650
Wisconsin,1601
Wyoming,9510
